t|id|name|type|properties
e|11|144|装配|1|null
e|12|26|组装|1|null
e|12|11|组装|1|null
e|13|26|组装|1|null
e|13|11|组装|1|null
e|14|26|组装|1|null
e|14|11|组装|1|null
e|15|144|装配|1|null
e|16|15|组装|1|null
e|17|15|组装|1|null
e|18|27|组装|1|null
e|18|15|组装|1|null
e|19|144|装配|1|null
e|20|30|组装|1|null
e|20|19|组装|1|null
e|21|30|组装|1|null
e|21|19|组装|1|null
e|23|22|装配|1|null
e|24|22|装配|1|null
e|25|22|装配|1|null
e|26|22|装配|1|null
e|27|22|装配|1|null
e|28|27|组装|1|null
e|29|27|组装|1|null
e|30|22|装配|1|null
e|31|22|装配|1|null
e|32|31|组装|1|null
e|33|31|组装|1|null
e|34|31|组装|1|null
e|35|31|组装|1|null
e|43|42|装配|1|null
e|44|43|组装|1|null
e|45|79|组装|10|null
e|45|43|组装|15|null
e|46|42|装配|1|null
e|47|81|组装|1|null
e|47|46|组装|1|null
e|48|46|组装|1|null
e|55|54|手动焊|1|null
e|55|54|自动焊|1|null
e|56|59|手动焊|1|null
e|56|54|自动焊|1|null
e|57|60|手动焊|1|null
e|57|54|自动焊|1|null
e|58|60|手动焊|1|null
e|58|54|自动焊|1|null
e|59|54|手动焊|1|null
e|60|59|手动焊|1|null
e|61|82|组装|1|null
e|61|48|组装|1|null
e|62|82|组装|1|null
e|62|48|组装|1|null
e|63|82|连接|1|null
e|63|48|连接|1|null
e|64|46|组装|1|null
e|65|64|组装|1|null
e|66|84|焊接|1|null
e|66|64|焊接|1|null
e|67|42|装配|1|null
e|68|86|连接|1|null
e|68|67|连接|1|null
e|69|67|组装|1|null
e|70|69|组装|1|null
e|71|69|连接|1|null
e|72|42|装配|1|null
e|73|72|组装|1|null
e|74|91|组装|1|null
e|74|72|组装|1|null
e|75|42|装配|1|null
e|76|93|组装|1|null
e|76|75|组装|1|null
e|77|75|组装|1|null
e|79|78|装配|1|null
e|80|79|焊接|1|null
e|81|78|装配|1|null
e|82|81|组装|1|null
e|83|82|组装|1|null
e|84|81|组装|1|null
e|85|84|组装|1|null
e|86|78|装配|1|null
e|87|86|组装|1|null
e|88|86|组装|1|null
e|89|88|组装|1|null
e|90|88|组装|1|null
e|91|78|装配|1|null
e|92|91|组装|1|null
e|93|78|装配|1|null
e|94|93|组装|1|null
e|96|172|装配|1|null
e|96|95|装配|1|null
e|97|96|组装|1|null
e|98|96|组装|1|null
e|99|96|组装|1|null
e|100|96|组装|1|null
e|101|96|组装|1|null
e|102|101|组装|1|null
e|103|96|组装|1|null
e|104|96|组装|1|null
e|105|104|组装|1|null
e|106|104|组装|1|null
e|107|96|组装|1|null
e|108|107|组装|1|null
e|110|109|装配|10|null
e|111|109|装配|20|null
e|112|109|装配|1|null
e|113|112|组装|1|null
e|114|112|组装|5|null
e|115|112|组装|1|null
e|116|112|组装|100|null
e|117|109|组装|1|null
e|118|117|组装|1|null
e|119|117|组装|1|null
e|120|117|组装|1|null
e|121|117|组装|1|null
e|122|117|组装|1|null
e|123|109|组装|1|null
e|124|123|组装|1|null
e|125|123|组装|1|null
e|126|123|组装|1|null
e|127|109|组装|1|null
e|128|127|装配|1|null
e|129|127|装配|1|null
e|135|109|组装|50|null
e|136|127|装配|1|null
e|138|107|连接|1|null
e|140|158|组装|1|null
e|145|144|装配|1|null
e|146|23|焊接|1|null
e|146|145|焊接|1|null
e|147|23|焊接|1|null
e|147|145|焊接|1|null
e|148|144|装配|1|null
e|158|148|组装|1|null
e|159|158|组装|1|null
e|160|158|组装|1|null
e|161|24|组装|1|null
e|161|148|组装|1|null
e|162|107|组装|1|null
e|163|161|组装|1|null
e|164|96|焊接|1|null
e|165|172|装配|1|null
e|165|95|装配|1|null
e|166|172|装配|1|null
e|166|95|装配|1|null
e|167|166|组装|1|null
e|168|166|组装|1|null
e|169|172|装配|1|null
e|169|95|装配|1|null
e|170|172|装配|1|null
e|170|95|装配|1|null
e|171|172|装配|1|null
e|171|95|装配|1|null
e|173|172|装配|1|null
e|174|173|组装|1|null
e|175|173|组装|1|null
e|176|175|组装|1|null
e|177|175|连接|1|null
t|#|-1
